Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2465517873,66977,37988,256,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2465585618,145250,38002,196,2,1,8,32,1,79,0.006,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,implicit_convolve_sgemm
2465731764,2112,38010,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2465734708,67393,38054,256,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2465802997,68865,38060,3136,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2465872662,47393,38067,3136,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2465920951,47040,38083,7,8,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2465968855,12160,38085,1,8,256,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2465981847,412326,38089,2,98,1,128,1,1,254,0.000,0.098,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2466395005,2112,38098,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2466397949,66401,38142,256,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2466465150,46369,38149,3136,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2466512351,47105,38165,7,8,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2466560352,12416,38167,1,8,256,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2466573536,408550,38171,2,98,1,128,1,1,254,0.000,0.098,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2466983014,2144,38180,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2466985958,66017,38224,256,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2467052743,68992,38230,3136,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2467122632,46912,38237,3136,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2467170440,47297,38253,7,8,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2467218537,21664,38255,1,8,512,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2467241065,209475,38259,4,25,1,128,1,1,254,0.000,0.098,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2467451372,2080,38268,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2467454348,29153,38313,512,1,1,512,1,1,40,0.000,0.014,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_singleread
2467484269,18272,38321,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2467503373,24672,38337,2,16,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2467529517,39137,38339,1,16,512,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2467569550,896,38342,,,,,,,,,,0.001,892.857,Device,,NVIDIA RTX A4500 (0),1,,7,[CUDA memset]
2467571886,398053,38343,4,25,2,128,1,1,230,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2467970803,2176,38352,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2467973747,28865,38397,512,1,1,512,1,1,40,0.000,0.014,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_singleread
2468003444,2400,38412,1,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,computeOffsetsKernel
2468006676,113922,38415,25,16,1,64,1,1,128,0.005,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
2468121430,2080,38423,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2468124278,29344,38468,512,1,1,512,1,1,40,0.000,0.014,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_singleread
2468154518,33504,38475,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2468188886,23681,38482,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2468213367,25216,38498,2,16,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2468239383,39489,38500,1,16,512,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2468279832,896,38503,,,,,,,,,,0.001,892.857,Device,,NVIDIA RTX A4500 (0),1,,7,[CUDA memset]
2468282616,397829,38504,4,25,2,128,1,1,230,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2468681565,2176,38513,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2468684605,30305,38558,512,1,1,512,1,1,40,0.000,0.014,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_singleread
2468715678,18656,38566,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2468735102,24577,38582,2,16,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2468760575,39200,38584,1,16,512,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2468800799,896,38587,,,,,,,,,,0.001,892.857,Device,,NVIDIA RTX A4500 (0),1,,7,[CUDA memset]
2468802815,397990,38588,4,25,2,128,1,1,230,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
2469201669,2144,38597,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2469204677,29632,38642,512,1,1,512,1,1,40,0.000,0.014,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_singleread
2469235109,31873,38649,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2469267878,23520,38656,1568,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2469292230,28192,38672,2048,1,1,32,16,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,reduce_kernel
2469321222,16065,38695,16,2,3,256,1,1,82,0.027,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,ampere_sgemm_64x32_sliced1x4_tn
2469338055,3968,38698,32,4,1,32,16,1,44,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,splitKreduce_kernel
2469342791,1792,38712,50,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,computeOffsetsKernel
2469345351,1377523,38715,6272,1,1,128,1,1,128,0.016,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1
2470723802,2144,38723,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2470726746,1100592,38767,64,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2471828202,721962,38774,50176,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2472550964,630857,38791,50176,1,1,256,1,1,25,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,max_pool_forward_nchw
2473182685,182338,38805,98,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2473365823,3360,38807,1,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2473370175,499751,38810,1,1568,1,128,1,1,168,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2473870694,2240,38819,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2473873702,281892,38863,64,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2474156522,183075,38870,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2474340461,182018,38886,98,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2474523504,3424,38888,1,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2474527792,504999,38891,1,1568,1,128,1,1,168,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2475033591,2112,38900,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2475036599,281476,38944,64,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2475319003,271684,38950,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2475591519,182114,38957,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2475774529,181635,38973,98,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2475957060,3296,38975,1,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2475961220,496871,38978,1,1568,1,128,1,1,168,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2476458891,2144,38987,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2476461835,281700,39031,64,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2476744463,182146,39038,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2476927377,182019,39054,98,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2477110260,3424,39056,1,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2477114516,499687,39059,1,1568,1,128,1,1,168,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2477615131,2144,39068,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2477618139,280772,39112,64,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2477899743,271268,39118,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2478171811,182146,39125,12544,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2478354757,181859,39141,98,2,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2478537480,3872,39143,1,2,128,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2478542184,262244,39146,2,392,1,128,1,1,168,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2478805196,2144,39155,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2478808172,140354,39199,128,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2478949326,91137,39206,6272,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2479041295,92225,39222,25,4,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2479134384,5056,39224,1,4,128,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2479140176,360037,39227,1,392,1,128,1,1,232,0.000,0.049,,,,,NVIDIA RTX A4500 (0),1,,7,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn
2479501077,2240,39236,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2479504086,141121,39280,128,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2479646007,2305,39294,4,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,computeOffsetsKernel
2479649144,133281,39297,392,1,1,256,1,1,128,0.033,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,_5x_cudnn_ampere_scudnn_128x128_relu_interior_nn_v1
2479783321,2144,39305,1,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2479786329,140162,39349,128,1,1,512,1,1,40,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,bn_fw_tr_1C11_kernel_NCHW
2479927323,135970,39355,6272,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2480064093,92482,39362,6272,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,vectorized_elementwise_kernel
2480157439,92545,39378,25,4,64,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
2480250848,5024,39380,1,4,128,256,1,1,38,0.004,0.000,,,,,NVIDIA RTX A4500 (0),1,,7,nchwToNhwcKernel
